Scenario Name,Engine,Timestep (s),Response Time (s)
DEU_Bremen-7_23_T-1,openai,49.0,30.2048020362854
DEU_Weimar-68_1_T-3,openai,96.0,14.02124285697937
ESP_Vigo-99_28_T-1,openai,46.0,18.850992918014526
ESP_Vigo-70_2_T-1,openai,88.0,28.59928846359253
DEU_Muehlhausen-5_1_T-1,openai,13.0,40.632206439971924
DEU_Schwetzingen-174_1_T-4,openai,36.0,27.903860807418823
DEU_Schweitenkirchen-5_1_T-36,openai,58.0,24.378679275512695
DEU_Weimar-57_1_T-1,openai,92.0,47.9323570728302
DEU_Bonn-38_4_T-1,openai,36.0,37.71695566177368
DEU_Hanover-38_33_T-1,openai,70.0,58.92011642456055
DEU_Bremen-1_10_T-1,openai,143.0,29.55440616607666
DEU_Nuremberg-27_1_T-1,openai,53.0,13.142622947692871
ESP_Bilbao-6_9_T-1,openai,135.0,29.85889983177185
CHN_Beijing-3_5_T-1,openai,92.0,44.769569635391235
USA_Austin-46_4_T-1,openai,64.0,17.41658091545105
USA_Washington-32_46_T-1,openai,41.0,62.40496110916138
ESP_Barcelona-44_19_T-1,openai,25.0,16.294684410095215
ESP_Barcelona-10_44_T-1,openai,102.0,23.37050151824951
DEU_Backnang-2_1_T-1,openai,20.0,22.69377851486206
DEU_Schopfloch-6_1_T-2,openai,49.0,34.21282887458801
GRC_NeaSmyrni-117_1_T-6,openai,36.0,35.71190857887268
BEL_Brussels-51_2_T-1,openai,39.0,27.712432384490967
USA_Austin-64_7_T-1,openai,43.0,51.88200902938843
DEU_Nuremberg-30_6_T-1,openai,54.0,17.447017192840576
BEL_Antwerp-13_5_T-1,openai,73.0,27.133002996444702
USA_Washington-12_38_T-1,openai,33.0,63.32903289794922
GRC_NeaSmyrni-73_1_T-10,openai,37.0,30.158931732177734
DEU_Flensburg-62_1_T-1,openai,53.0,163.9444613456726
ESP_Barcelona-21_6_T-1,openai,98.0,15.518805980682373
ESP_Barcelona-44_27_T-1,openai,53.0,21.20806646347046
DEU_Bonn-19_2_T-1,openai,121.0,14.934519529342651
DEU_Kiel-52_2_T-1,openai,38.0,27.810858249664307
ESP_Bilbao-13_20_T-1,openai,22.0,23.7268648147583
DEU_Salzwedel-74_1_T-4,openai,74.0,34.59604096412659
DEU_Bonn-35_11_T-1,openai,37.0,19.373541355133057
USA_Austin-77_10_T-1,openai,60.0,50.191574573516846
DEU_Guetersloh-32_1_T-1,openai,17.0,29.591797590255737
DEU_Salzwedel-80_1_T-2,openai,131.0,51.83088684082031
ESP_Vigo-99_34_T-1,openai,140.0,23.281845569610596
FRA_Dijon-13_1_T-1,openai,37.0,29.79074501991272
ESP_Barcelona-39_27_T-1,openai,34.0,21.205241918563843
DEU_Hanover-45_17_T-1,openai,77.0,17.13709020614624
DEU_Wolfsburg-39_1_T-8,openai,7.0,18.195555210113525
DEU_Nuremberg-24_13_T-1,openai,84.0,46.54000949859619
GRC_ArchaioLimani-46_1_T-2,openai,53.0,26.138123750686646
CHN_Qingdao-18_2_T-1,openai,41.0,14.819990634918213
ARG_Carcarana-1_8_T-1,openai,31.0,15.695148944854736
BEL_Antwerp-10_7_T-1,openai,17.0,20.682077646255493
ESP_Vigo-63_4_T-1,openai,83.0,37.73608112335205
FRA_Dijon-28_4_T-1,openai,21.0,38.06062126159668
DEU_Leipzig-13_19_T-1,openai,42.0,31.550947427749634
ESP_Barcelona-3_6_T-1,openai,36.0,102.1637315750122
USA_Phoenix-17_14_T-1,openai,66.0,21.687001943588257
ESP_Vigo-99_21_T-1,openai,145.0,21.45780634880066
ESP_Barcelona-38_52_T-1,openai,36.0,70.02567338943481
DEU_Memmingen-1_1_T-5,openai,41.0,86.25237965583801
DEU_Lengede-44_1_T-6,openai,69.0,21.393267154693604
DEU_Schweitenkirchen-4_1_T-12,openai,54.0,47.51207208633423
DEU_Leipzig-37_8_T-1,openai,31.0,24.63259267807007
USA_Austin-8_1_T-1,openai,41.0,50.04109764099121
DEU_Memmingen-138_1_T-4,openai,70.0,40.617534160614014
DEU_Leipzig-13_7_T-1,openai,40.0,30.79548192024231
ITA_Siderno-5_3_T-1,openai,24.0,19.922632694244385
GRC_NeaSmyrni-98_1_T-1,openai,47.0,33.876192569732666
USA_Washington-34_15_T-1,openai,117.0,29.396010637283325
GRC_NeaSmyrni-154_1_T-2,openai,31.0,21.10478901863098
DEU_Schwetzingen-112_1_T-1,openai,35.0,15.025996923446655
DEU_Bonn-38_18_T-1,openai,98.0,16.779086112976074
ESP_Barcelona-6_18_T-1,openai,49.0,21.227975130081177
DEU_Nuremberg-6_21_T-1,openai,67.0,39.301459550857544
ESP_Barcelona-12_43_T-1,openai,130.0,72.18527030944824
DEU_Aschaffenburg-64_5_T-1,openai,23.0,21.817060947418213
USA_Washington-12_15_T-1,openai,30.0,39.91357159614563
ESP_Barcelona-3_13_T-1,openai,46.0,43.39813041687012
DEU_Aschaffenburg-15_26_T-1,openai,70.0,18.511425256729126
DEU_Schwetzingen-180_1_T-2,openai,92.0,35.764689445495605
ESP_Bilbao-23_16_T-1,openai,50.0,15.28809666633606
ESP_Vigo-70_3_T-1,openai,40.0,26.202287912368774
ESP_Ceuta-5_2_T-1,openai,12.0,22.497431755065918
ITA_Empoli-2_5_T-1,openai,26.0,16.862846612930298
DEU_Schwetzingen-74_1_T-4,openai,34.0,119.77582883834839
DEU_Aschaffenburg-21_21_T-1,openai,64.0,29.820579290390015
ESP_Barcelona-39_11_T-1,openai,92.0,20.887579202651978
DEU_Leipzig-63_24_T-1,openai,53.0,21.6465003490448
DEU_Schwetzingen-10_1_T-5,openai,65.0,20.1789813041687
USA_Phoenix-17_19_T-1,openai,116.0,22.69636631011963
DEU_Nuremberg-29_9_T-1,openai,26.0,60.94515657424927
FRA_Dijon-24_4_T-1,openai,107.0,10.024748086929321
BEL_Zwevegem-1_6_T-1,openai,28.0,26.62209415435791
DEU_Nuremberg-6_34_T-1,openai,38.0,23.183987379074097
DEU_Hennigsdorf-5_3_T-1,openai,28.0,17.09780979156494
ESP_Barcelona-49_21_T-1,openai,43.0,11.674360275268555
GRC_NeaSmyrni-31_1_T-12,openai,36.0,9.112852096557617
DEU_Bremen-7_12_T-1,openai,68.0,52.941083669662476
GRC_NeaSmyrni-87_1_T-1,openai,4.0,22.657164812088013
DEU_Muehlhausen-10_5_T-1,openai,12.0,31.44676184654236
DEU_Bremen-33_33_T-1,openai,53.0,35.84692978858948
ITA_Empoli-7_2_T-1,openai,22.0,37.34929299354553
BEL_Brussels-82_4_T-1,openai,29.0,13.931379318237305
DEU_Hanover-44_28_T-1,openai,57.0,13.032310485839844
BEL_Antwerp-1_14_T-1,openai,98.0,59.85907006263733
